SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,CAMPAIGN_NAME_SHORT,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,SITE_NAME,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,COUNTRY_ISO,OCEAN_IHO,LATITUDE,LONGITUDE,ALTITUDE_VALUE,ALTITUDE_UNIT,SITE_COMMENT,YEAR,TITLE,DATA_SOURCE,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SAMPLE_SPECIES_LIFESTAGE,SAMPLE_SPECIES_GENDER,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,RELIABILITY_SCORE,RELIABILITY_EVAL_SYS,CONFIDENTIALITY_EXPIRY_DATE,ORGANISATION,ENTERED_BY,ENTERED_DATE,CAMPAIGN_COMMENT,MEASURED_UNIT_STANDARD,MEASURED_VALUE_STANDARD,UNCERTAINTY_UPPER_STANDARD,UNCERTAINTY_LOWER_STANDARD,LOQ_UNIT_STANDARD,LOQ_VALUE_STANDARD,LOD_UNIT_STANDARD,LOD_VALUE_STANDARD
GreenlandSeals1985_GS1985,Copper,1985-01-01,"Biota, Aquatic",harp liver juvenile,,16,Standard Deviation,31,-15,μg/g (wet),6,NA,,NA,,Biopsy,Acid digestion,Acid extractable,Atomic absorption spectroscopy,2000JulshamnTraceElementLevels,GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rharp liver,GreenlandSeals1985,Biota,Stressor,Concentration,,Greenland Sea,"Ocean, sea, territorial waters",Water surface,Not reported,Greenland Sea,77,-3,0,m,"Research scientists from the Marine Research Institute, Bergen captured seals in the Greenland Sea in the winter season of 1985. Exact coordinates not provided in document.",2000,Trace element levels in harp seal (Pagophilus groenlandicus) and hooded seal (Cystophora cristata) from the Greenland Sea. A multivariate approach,Primary,Mammals,Pagophilus groenlandicus,Liver,Juvenile,Not reported,Trace element levels in harp seal and hooded seal from Greenland Sea study,1985-01-01,1985-12-31,NA,Not relevant,NA,"Institute of Nutrition, Directorate of Fisheries",Sam Welch,2025-10-31,"Muscle, liver and kidney were sampled from 29 harp seals (6 juveniles, 8 males and 15 females) and 22 hooded seals (2 juveniles, 5 males and 15 females) captured in the Greenland Sea by research scientists from the Marine Research Institute, Bergen in the winter season of 1985.",mg/kg (wet),0.016,0.031,-0.015,NA,NA,NA,NA
GreenlandSeals1985_GS1985,Copper,1985-01-01,"Biota, Aquatic",hooded kidney juvenile,,6,,NA,NA,μg/g (wet),2,NA,,NA,,Biopsy,Acid digestion,Acid extractable,Atomic absorption spectroscopy,2000JulshamnTraceElementLevels,GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded kidney,GreenlandSeals1985,Biota,Stressor,Concentration,,Greenland Sea,"Ocean, sea, territorial waters",Water surface,Not reported,Greenland Sea,77,-3,0,m,"Research scientists from the Marine Research Institute, Bergen captured seals in the Greenland Sea in the winter season of 1985. Exact coordinates not provided in document.",2000,Trace element levels in harp seal (Pagophilus groenlandicus) and hooded seal (Cystophora cristata) from the Greenland Sea. A multivariate approach,Primary,Mammals,Cystophora cristata,Kidney,Juvenile,Not reported,Trace element levels in harp seal and hooded seal from Greenland Sea study,1985-01-01,1985-12-31,NA,Not relevant,NA,"Institute of Nutrition, Directorate of Fisheries",Sam Welch,2025-10-31,"Muscle, liver and kidney were sampled from 29 harp seals (6 juveniles, 8 males and 15 females) and 22 hooded seals (2 juveniles, 5 males and 15 females) captured in the Greenland Sea by research scientists from the Marine Research Institute, Bergen in the winter season of 1985.",mg/kg (wet),0.006,NA,NA,NA,NA,NA,NA
GreenlandSeals1985_GS1985,Copper,1985-01-01,"Biota, Aquatic",hooded muscle juvenile,,2.4,,NA,NA,μg/g (wet),2,NA,,NA,,Biopsy,Acid digestion,Acid extractable,Atomic absorption spectroscopy,2000JulshamnTraceElementLevels,GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded muscle,GreenlandSeals1985,Biota,Stressor,Concentration,,Greenland Sea,"Ocean, sea, territorial waters",Water surface,Not reported,Greenland Sea,77,-3,0,m,"Research scientists from the Marine Research Institute, Bergen captured seals in the Greenland Sea in the winter season of 1985. Exact coordinates not provided in document.",2000,Trace element levels in harp seal (Pagophilus groenlandicus) and hooded seal (Cystophora cristata) from the Greenland Sea. A multivariate approach,Primary,Mammals,Cystophora cristata,Muscle,Juvenile,Not reported,Trace element levels in harp seal and hooded seal from Greenland Sea study,1985-01-01,1985-12-31,NA,Not relevant,NA,"Institute of Nutrition, Directorate of Fisheries",Sam Welch,2025-10-31,"Muscle, liver and kidney were sampled from 29 harp seals (6 juveniles, 8 males and 15 females) and 22 hooded seals (2 juveniles, 5 males and 15 females) captured in the Greenland Sea by research scientists from the Marine Research Institute, Bergen in the winter season of 1985.",mg/kg (wet),0.0024,NA,NA,NA,NA,NA,NA
GreenlandSeals1985_GS1985,Copper,1985-01-01,"Biota, Aquatic",harp liver female,,13,Standard Deviation,19,-6,μg/g (wet),15,NA,,NA,,Biopsy,Acid digestion,Acid extractable,Atomic absorption spectroscopy,2000JulshamnTraceElementLevels,GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rharp liver,GreenlandSeals1985,Biota,Stressor,Concentration,,Greenland Sea,"Ocean, sea, territorial waters",Water surface,Not reported,Greenland Sea,77,-3,0,m,"Research scientists from the Marine Research Institute, Bergen captured seals in the Greenland Sea in the winter season of 1985. Exact coordinates not provided in document.",2000,Trace element levels in harp seal (Pagophilus groenlandicus) and hooded seal (Cystophora cristata) from the Greenland Sea. A multivariate approach,Primary,Mammals,Pagophilus groenlandicus,Liver,Adult,Female,Trace element levels in harp seal and hooded seal from Greenland Sea study,1985-01-01,1985-12-31,NA,Not relevant,NA,"Institute of Nutrition, Directorate of Fisheries",Sam Welch,2025-10-31,"Muscle, liver and kidney were sampled from 29 harp seals (6 juveniles, 8 males and 15 females) and 22 hooded seals (2 juveniles, 5 males and 15 females) captured in the Greenland Sea by research scientists from the Marine Research Institute, Bergen in the winter season of 1985.",mg/kg (wet),0.013,0.019,-0.006,NA,NA,NA,NA
GreenlandSeals1985_GS1985,Copper,1985-01-01,"Biota, Aquatic",hooded kidney male,,3.9,Standard Deviation,4.8,-0.9,μg/g (wet),5,NA,,NA,,Biopsy,Acid digestion,Acid extractable,Atomic absorption spectroscopy,2000JulshamnTraceElementLevels,GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded kidney,GreenlandSeals1985,Biota,Stressor,Concentration,,Greenland Sea,"Ocean, sea, territorial waters",Water surface,Not reported,Greenland Sea,77,-3,0,m,"Research scientists from the Marine Research Institute, Bergen captured seals in the Greenland Sea in the winter season of 1985. Exact coordinates not provided in document.",2000,Trace element levels in harp seal (Pagophilus groenlandicus) and hooded seal (Cystophora cristata) from the Greenland Sea. A multivariate approach,Primary,Mammals,Cystophora cristata,Kidney,Adult,Male,Trace element levels in harp seal and hooded seal from Greenland Sea study,1985-01-01,1985-12-31,NA,Not relevant,NA,"Institute of Nutrition, Directorate of Fisheries",Sam Welch,2025-10-31,"Muscle, liver and kidney were sampled from 29 harp seals (6 juveniles, 8 males and 15 females) and 22 hooded seals (2 juveniles, 5 males and 15 females) captured in the Greenland Sea by research scientists from the Marine Research Institute, Bergen in the winter season of 1985.",mg/kg (wet),0.0039,0.0048,-9e-4,NA,NA,NA,NA
GreenlandSeals1985_GS1985,Copper,1985-01-01,"Biota, Aquatic",hooded muscle male,,0.8,Standard Deviation,1.3,-0.5,μg/g (wet),5,NA,,NA,,Biopsy,Acid digestion,Acid extractable,Atomic absorption spectroscopy,2000JulshamnTraceElementLevels,GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded muscle,GreenlandSeals1985,Biota,Stressor,Concentration,,Greenland Sea,"Ocean, sea, territorial waters",Water surface,Not reported,Greenland Sea,77,-3,0,m,"Research scientists from the Marine Research Institute, Bergen captured seals in the Greenland Sea in the winter season of 1985. Exact coordinates not provided in document.",2000,Trace element levels in harp seal (Pagophilus groenlandicus) and hooded seal (Cystophora cristata) from the Greenland Sea. A multivariate approach,Primary,Mammals,Cystophora cristata,Muscle,Adult,Male,Trace element levels in harp seal and hooded seal from Greenland Sea study,1985-01-01,1985-12-31,NA,Not relevant,NA,"Institute of Nutrition, Directorate of Fisheries",Sam Welch,2025-10-31,"Muscle, liver and kidney were sampled from 29 harp seals (6 juveniles, 8 males and 15 females) and 22 hooded seals (2 juveniles, 5 males and 15 females) captured in the Greenland Sea by research scientists from the Marine Research Institute, Bergen in the winter season of 1985.",mg/kg (wet),8e-4,0.0013,-5e-4,NA,NA,NA,NA
RuglaNaustebeRoros97_Rugla,Copper,1997-06-01,"Biota, Aquatic",gills,,4.88,First-Third Quartile Range,3.57,5.7,µg/g (wet),6,NA,,NA,,S01_Electrofishing_RuglaNaust,E01_AcidDigest_RuglaNaust,F01_DissolvedFrac_RuglaNaust,A01_AAS_RuglaNaust,2001OlsvikMetalAccumulationAnd,RuglaNaustebeRoros97_Rugla-Copper-BiotaAquatic-1997-06-01-Rgills,RuglaNaustebeRoros97,Biota,Stressor,Concentration,,Rugla River at Røros,"River, stream, canal",Other,Norway,Norway,62.76,11.33,0,m,"Cu-contaminated river draining north to Trondheimfjord. Cu-sulfide ore mined between 1770-1919 at Muggruva mine. Located at Røros in Sør-Trøndelag, Central Norway. Fish caught some hundred meters downstream of water sample collection site. Location very approximate.",2001,"Metal accumulation and metallothionein in brown trout, Salmo trutta, from two Norwegian rivers differently contaminated with Cd, Cu and Zn",Primary,Fish,Salmo trutta,Gills,Juvenile,Mixed,Metal accumulation and metallothionein study in brown trout from Rugla and Naustebekken rivers,1997-05-01,1998-09-30,,Not relevant,NA,Norwegian University of Science and Technology,Sam Welch,2025-11-02,"Study compared brown trout from two Norwegian rivers differently contaminated with metals - Rugla (Cu-contaminated) and Naustebekken (Cd/Zn-contaminated) at Røros, Central Norway. Fish were captured June-July 1997 and early September 1998. Water samples collected at regular intervals during ice-free season May-October 1997.",mg/kg (wet),0.00488,0.00357,0.0057,NA,NA,NA,NA
RuglaNaustebeRoros97_Rugla,Copper,1997-06-01,"Biota, Aquatic",liver,,242.93,First-Third Quartile Range,236.41,336.85,µg/g (wet),6,NA,,NA,,S01_Electrofishing_RuglaNaust,E01_AcidDigest_RuglaNaust,F01_DissolvedFrac_RuglaNaust,A01_AAS_RuglaNaust,2001OlsvikMetalAccumulationAnd,RuglaNaustebeRoros97_Rugla-Copper-BiotaAquatic-1997-06-01-Rliver,RuglaNaustebeRoros97,Biota,Stressor,Concentration,,Rugla River at Røros,"River, stream, canal",Other,Norway,Norway,62.76,11.33,0,m,"Cu-contaminated river draining north to Trondheimfjord. Cu-sulfide ore mined between 1770-1919 at Muggruva mine. Located at Røros in Sør-Trøndelag, Central Norway. Fish caught some hundred meters downstream of water sample collection site. Location very approximate.",2001,"Metal accumulation and metallothionein in brown trout, Salmo trutta, from two Norwegian rivers differently contaminated with Cd, Cu and Zn",Primary,Fish,Salmo trutta,Liver,Juvenile,Mixed,Metal accumulation and metallothionein study in brown trout from Rugla and Naustebekken rivers,1997-05-01,1998-09-30,,Not relevant,NA,Norwegian University of Science and Technology,Sam Welch,2025-11-02,"Study compared brown trout from two Norwegian rivers differently contaminated with metals - Rugla (Cu-contaminated) and Naustebekken (Cd/Zn-contaminated) at Røros, Central Norway. Fish were captured June-July 1997 and early September 1998. Water samples collected at regular intervals during ice-free season May-October 1997.",mg/kg (wet),0.24293,0.23641,0.33685000000000004,NA,NA,NA,NA
RuglaNaustebeRoros97_Rugla,Copper,1997-06-01,"Biota, Aquatic",kidneys,,3.85,First-Third Quartile Range,3.51,4.9,µg/g (wet),6,NA,,NA,,S01_Electrofishing_RuglaNaust,E01_AcidDigest_RuglaNaust,F01_DissolvedFrac_RuglaNaust,A01_AAS_RuglaNaust,2001OlsvikMetalAccumulationAnd,RuglaNaustebeRoros97_Rugla-Copper-BiotaAquatic-1997-06-01-Rkidneys,RuglaNaustebeRoros97,Biota,Stressor,Concentration,,Rugla River at Røros,"River, stream, canal",Other,Norway,Norway,62.76,11.33,0,m,"Cu-contaminated river draining north to Trondheimfjord. Cu-sulfide ore mined between 1770-1919 at Muggruva mine. Located at Røros in Sør-Trøndelag, Central Norway. Fish caught some hundred meters downstream of water sample collection site. Location very approximate.",2001,"Metal accumulation and metallothionein in brown trout, Salmo trutta, from two Norwegian rivers differently contaminated with Cd, Cu and Zn",Primary,Fish,Salmo trutta,Kidney,Juvenile,Mixed,Metal accumulation and metallothionein study in brown trout from Rugla and Naustebekken rivers,1997-05-01,1998-09-30,,Not relevant,NA,Norwegian University of Science and Technology,Sam Welch,2025-11-02,"Study compared brown trout from two Norwegian rivers differently contaminated with metals - Rugla (Cu-contaminated) and Naustebekken (Cd/Zn-contaminated) at Røros, Central Norway. Fish were captured June-July 1997 and early September 1998. Water samples collected at regular intervals during ice-free season May-October 1997.",mg/kg (wet),0.00385,0.0035099999999999997,0.004900000000000001,NA,NA,NA,NA
RuglaNaustebeRoros97_Naustebekken,Copper,1997-06-01,"Biota, Aquatic",gills,,1.92,First-Third Quartile Range,1.48,2.01,µg/g (wet),5,NA,,NA,,S01_Electrofishing_RuglaNaust,E01_AcidDigest_RuglaNaust,F01_DissolvedFrac_RuglaNaust,A01_AAS_RuglaNaust,2001OlsvikMetalAccumulationAnd,RuglaNaustebeRoros97_Naustebekken-Copper-BiotaAquatic-1997-06-01-Rgills,RuglaNaustebeRoros97,Biota,Stressor,Concentration,,Naustebekken River at Røros,"River, stream, canal",Other,Norway,Norway,62.69,11.29,0,m,"Cd/Zn-contaminated river draining south to Oslofjord. Contamination from Fjellsjøgruva Zn-blend ore mined 1953-1956. Located at Røros in Sør-Trøndelag, Central Norway. Fish caught at same location as water samples. Location very approximate.",2001,"Metal accumulation and metallothionein in brown trout, Salmo trutta, from two Norwegian rivers differently contaminated with Cd, Cu and Zn",Primary,Fish,Salmo trutta,Gills,Juvenile,Mixed,Metal accumulation and metallothionein study in brown trout from Rugla and Naustebekken rivers,1997-05-01,1998-09-30,,Not relevant,NA,Norwegian University of Science and Technology,Sam Welch,2025-11-02,"Study compared brown trout from two Norwegian rivers differently contaminated with metals - Rugla (Cu-contaminated) and Naustebekken (Cd/Zn-contaminated) at Røros, Central Norway. Fish were captured June-July 1997 and early September 1998. Water samples collected at regular intervals during ice-free season May-October 1997.",mg/kg (wet),0.0019199999999999998,0.00148,0.0020099999999999996,NA,NA,NA,NA
RuglaNaustebeRoros97_Naustebekken,Copper,1997-06-01,"Biota, Aquatic",liver,,103.42,First-Third Quartile Range,87.72,122.98,µg/g (wet),5,NA,,NA,,S01_Electrofishing_RuglaNaust,E01_AcidDigest_RuglaNaust,F01_DissolvedFrac_RuglaNaust,A01_AAS_RuglaNaust,2001OlsvikMetalAccumulationAnd,RuglaNaustebeRoros97_Naustebekken-Copper-BiotaAquatic-1997-06-01-Rliver,RuglaNaustebeRoros97,Biota,Stressor,Concentration,,Naustebekken River at Røros,"River, stream, canal",Other,Norway,Norway,62.69,11.29,0,m,"Cd/Zn-contaminated river draining south to Oslofjord. Contamination from Fjellsjøgruva Zn-blend ore mined 1953-1956. Located at Røros in Sør-Trøndelag, Central Norway. Fish caught at same location as water samples. Location very approximate.",2001,"Metal accumulation and metallothionein in brown trout, Salmo trutta, from two Norwegian rivers differently contaminated with Cd, Cu and Zn",Primary,Fish,Salmo trutta,Liver,Juvenile,Mixed,Metal accumulation and metallothionein study in brown trout from Rugla and Naustebekken rivers,1997-05-01,1998-09-30,,Not relevant,NA,Norwegian University of Science and Technology,Sam Welch,2025-11-02,"Study compared brown trout from two Norwegian rivers differently contaminated with metals - Rugla (Cu-contaminated) and Naustebekken (Cd/Zn-contaminated) at Røros, Central Norway. Fish were captured June-July 1997 and early September 1998. Water samples collected at regular intervals during ice-free season May-October 1997.",mg/kg (wet),0.10342,0.08771999999999999,0.12298,NA,NA,NA,NA
RuglaNaustebeRoros97_Naustebekken,Copper,1997-06-01,"Biota, Aquatic",kidneys,,1.97,First-Third Quartile Range,1.67,2.38,µg/g (wet),5,NA,,NA,,S01_Electrofishing_RuglaNaust,E01_AcidDigest_RuglaNaust,F01_DissolvedFrac_RuglaNaust,A01_AAS_RuglaNaust,2001OlsvikMetalAccumulationAnd,RuglaNaustebeRoros97_Naustebekken-Copper-BiotaAquatic-1997-06-01-Rkidneys,RuglaNaustebeRoros97,Biota,Stressor,Concentration,,Naustebekken River at Røros,"River, stream, canal",Other,Norway,Norway,62.69,11.29,0,m,"Cd/Zn-contaminated river draining south to Oslofjord. Contamination from Fjellsjøgruva Zn-blend ore mined 1953-1956. Located at Røros in Sør-Trøndelag, Central Norway. Fish caught at same location as water samples. Location very approximate.",2001,"Metal accumulation and metallothionein in brown trout, Salmo trutta, from two Norwegian rivers differently contaminated with Cd, Cu and Zn",Primary,Fish,Salmo trutta,Kidney,Juvenile,Mixed,Metal accumulation and metallothionein study in brown trout from Rugla and Naustebekken rivers,1997-05-01,1998-09-30,,Not relevant,NA,Norwegian University of Science and Technology,Sam Welch,2025-11-02,"Study compared brown trout from two Norwegian rivers differently contaminated with metals - Rugla (Cu-contaminated) and Naustebekken (Cd/Zn-contaminated) at Røros, Central Norway. Fish were captured June-July 1997 and early September 1998. Water samples collected at regular intervals during ice-free season May-October 1997.",mg/kg (wet),0.00197,0.0016699999999999998,0.0023799999999999997,NA,NA,NA,NA
RuglaNaustebeRoros97_Rugla,Copper,1997-06-01,Freshwater,1,,21.3,Standard Deviation,29.3,13.3,µg/L,17,NA,,NA,,S02_PointSampling_RuglaNaust,E01_AcidDigest_RuglaNaust,F01_DissolvedFrac_RuglaNaust,A01_AAS_RuglaNaust,2001OlsvikMetalAccumulationAnd,RuglaNaustebeRoros97_Rugla-Copper-Freshwater-1997-06-01-R 1,RuglaNaustebeRoros97,Aquatic,Stressor,Concentration,"""""Water samples were collected at regular intervals during the ice-free season May November of 1997.""""",Rugla River at Røros,"River, stream, canal",Other,Norway,Norway,62.76,11.33,0,m,"Cu-contaminated river draining north to Trondheimfjord. Cu-sulfide ore mined between 1770-1919 at Muggruva mine. Located at Røros in Sør-Trøndelag, Central Norway. Fish caught some hundred meters downstream of water sample collection site. Location very approximate.",2001,"Metal accumulation and metallothionein in brown trout, Salmo trutta, from two Norwegian rivers differently contaminated with Cd, Cu and Zn",Primary,NA,NA,NA,NA,NA,Metal accumulation and metallothionein study in brown trout from Rugla and Naustebekken rivers,1997-05-01,1998-09-30,,Not relevant,NA,Norwegian University of Science and Technology,Sam Welch,2025-11-02,"Study compared brown trout from two Norwegian rivers differently contaminated with metals - Rugla (Cu-contaminated) and Naustebekken (Cd/Zn-contaminated) at Røros, Central Norway. Fish were captured June-July 1997 and early September 1998. Water samples collected at regular intervals during ice-free season May-October 1997.",mg/L,0.0213,0.0293,0.013300000000000001,NA,NA,NA,NA
RuglaNaustebeRoros97_Naustebekken,Copper,1997-06-01,Freshwater,1,,3.2,Standard Deviation,5.3,1.1,µg/L,14,NA,,NA,,S02_PointSampling_RuglaNaust,E01_AcidDigest_RuglaNaust,F01_DissolvedFrac_RuglaNaust,A01_AAS_RuglaNaust,2001OlsvikMetalAccumulationAnd,RuglaNaustebeRoros97_Naustebekken-Copper-Freshwater-1997-06-01-R 1,RuglaNaustebeRoros97,Aquatic,Stressor,Concentration,"""""Water samples were collected at regular intervals during the ice-free season May November of 1997.""""",Naustebekken River at Røros,"River, stream, canal",Other,Norway,Norway,62.69,11.29,0,m,"Cd/Zn-contaminated river draining south to Oslofjord. Contamination from Fjellsjøgruva Zn-blend ore mined 1953-1956. Located at Røros in Sør-Trøndelag, Central Norway. Fish caught at same location as water samples. Location very approximate.",2001,"Metal accumulation and metallothionein in brown trout, Salmo trutta, from two Norwegian rivers differently contaminated with Cd, Cu and Zn",Primary,NA,NA,NA,NA,NA,Metal accumulation and metallothionein study in brown trout from Rugla and Naustebekken rivers,1997-05-01,1998-09-30,,Not relevant,NA,Norwegian University of Science and Technology,Sam Welch,2025-11-02,"Study compared brown trout from two Norwegian rivers differently contaminated with metals - Rugla (Cu-contaminated) and Naustebekken (Cd/Zn-contaminated) at Røros, Central Norway. Fish were captured June-July 1997 and early September 1998. Water samples collected at regular intervals during ice-free season May-October 1997.",mg/L,0.0032,0.0053,0.0011,NA,NA,NA,NA
GlommaCu1990-95_1,Copper,1990-06-07,Brackish/Transitional Water,1,,118,Not Reported,NA,NA,mg/kg (dry),1,NA,,NA,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_1-Copper-BrackishTran-1990-06-07-R 1,GlommaCu1990-95,Aquatic,Stressor,Concentration,,Glomma estuary station 1,Estuary,Water benthos,Norway,Norway,59.052,10.974,20,m,"Located in the outer part of the Glomma estuary. Sampled in 1990, 1994 and 1995. Coordinates estimated (3 d.p.) from Figure 1.",2002,"Transport and sedimentation of Cu in a microtidal estuary, SE Norway",Primary,NA,NA,NA,NA,NA,Transport and sedimentation of Cu in Glomma estuary,1990-05-01,1995-07-31,,Not relevant,NA,Norwegian Institute for Water Research,Sam Welch,2025-11-04,"Study of transport and sedimentation of copper in the Glomma estuary, SE Norway during a period of 90% reduction in industrial Cu input. Traps deployed at four stations for monthly periods during 1990, 1994 and 1995, with additional four stations in 1995.",mg/kg (dry),118,NA,NA,NA,NA,NA,NA
GlommaCu1990-95_2,Copper,1990-06-07,Brackish/Transitional Water,1,,117,Not Reported,NA,NA,mg/kg (dry),2,NA,,NA,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_2-Copper-BrackishTran-1990-06-07-R 1,GlommaCu1990-95,Aquatic,Stressor,Concentration,,Glomma estuary station 2,Estuary,Water benthos,Norway,Norway,59.129,10.964,20,m,"Located near the river mouth in the inner part of the estuary. Sampled in 1990, 1994 and 1995. Coordinates estimated (3 d.p.) from Figure 1.",2002,"Transport and sedimentation of Cu in a microtidal estuary, SE Norway",Primary,NA,NA,NA,NA,NA,Transport and sedimentation of Cu in Glomma estuary,1990-05-01,1995-07-31,,Not relevant,NA,Norwegian Institute for Water Research,Sam Welch,2025-11-04,"Study of transport and sedimentation of copper in the Glomma estuary, SE Norway during a period of 90% reduction in industrial Cu input. Traps deployed at four stations for monthly periods during 1990, 1994 and 1995, with additional four stations in 1995.",mg/kg (dry),117,NA,NA,NA,NA,NA,NA
GlommaCu1990-95_3,Copper,1990-06-07,Brackish/Transitional Water,1,,107,Not Reported,NA,NA,mg/kg (dry),3,NA,,NA,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_3-Copper-BrackishTran-1990-06-07-R 1,GlommaCu1990-95,Aquatic,Stressor,Concentration,,Glomma estuary station 3,Estuary,Water benthos,Norway,Norway,59.111,11.037,20,m,"Located in the Glomma estuary. Sampled in 1990, 1994 and 1995. Coordinates estimated (3 d.p.) from Figure 1.",2002,"Transport and sedimentation of Cu in a microtidal estuary, SE Norway",Primary,NA,NA,NA,NA,NA,Transport and sedimentation of Cu in Glomma estuary,1990-05-01,1995-07-31,,Not relevant,NA,Norwegian Institute for Water Research,Sam Welch,2025-11-04,"Study of transport and sedimentation of copper in the Glomma estuary, SE Norway during a period of 90% reduction in industrial Cu input. Traps deployed at four stations for monthly periods during 1990, 1994 and 1995, with additional four stations in 1995.",mg/kg (dry),107,NA,NA,NA,NA,NA,NA
GlommaCu1990-95_4,Copper,1990-06-07,Brackish/Transitional Water,1,,120,Not Reported,NA,NA,mg/kg (dry),4,NA,,NA,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_4-Copper-BrackishTran-1990-06-07-R 1,GlommaCu1990-95,Aquatic,Stressor,Concentration,,Glomma estuary station 4,Estuary,Water benthos,Norway,Norway,59.111,11.167,20,m,"Located to the east of the main estuary. Sampled in 1990, 1994 and 1995. High variability in Al and TOC concentrations, may be influenced by other particle sources than river Glomma. Coordinates estimated (3 d.p.) from Figure 1.",2002,"Transport and sedimentation of Cu in a microtidal estuary, SE Norway",Primary,NA,NA,NA,NA,NA,Transport and sedimentation of Cu in Glomma estuary,1990-05-01,1995-07-31,,Not relevant,NA,Norwegian Institute for Water Research,Sam Welch,2025-11-04,"Study of transport and sedimentation of copper in the Glomma estuary, SE Norway during a period of 90% reduction in industrial Cu input. Traps deployed at four stations for monthly periods during 1990, 1994 and 1995, with additional four stations in 1995.",mg/kg (dry),120,NA,NA,NA,NA,NA,NA
GlommaCu1990-95_1,Copper,1990-07-02,Brackish/Transitional Water,1,,119,Not Reported,NA,NA,mg/kg (dry),5,NA,,NA,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_1-Copper-BrackishTran-1990-07-02-R 1,GlommaCu1990-95,Aquatic,Stressor,Concentration,,Glomma estuary station 1,Estuary,Water benthos,Norway,Norway,59.052,10.974,20,m,"Located in the outer part of the Glomma estuary. Sampled in 1990, 1994 and 1995. Coordinates estimated (3 d.p.) from Figure 1.",2002,"Transport and sedimentation of Cu in a microtidal estuary, SE Norway",Primary,NA,NA,NA,NA,NA,Transport and sedimentation of Cu in Glomma estuary,1990-05-01,1995-07-31,,Not relevant,NA,Norwegian Institute for Water Research,Sam Welch,2025-11-04,"Study of transport and sedimentation of copper in the Glomma estuary, SE Norway during a period of 90% reduction in industrial Cu input. Traps deployed at four stations for monthly periods during 1990, 1994 and 1995, with additional four stations in 1995.",mg/kg (dry),119,NA,NA,NA,NA,NA,NA
