ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,species_common_name,rank,n,n_sources,cum_pct,tier,flag_multimodal,flag_outliers,decision,lump_into,notes
Biota,"Biota, Aquatic",Fish,Rutilus rutilus,Gill,"River, stream, canal",Not reported,mg/kg (dry),Roach minnow,142,6,1,0.9973,tail,FALSE,TRUE,,,
Biota,"Biota, Aquatic",Fish,Rutilus rutilus,Liver,"River, stream, canal",Not reported,mg/kg (wet),Roach minnow,143,6,1,0.9974,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Ctenodiscus crispatus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),Common mud star,144,6,1,0.9975,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Astarte borealis,Total soft tissues,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),Boreal astarte,145,6,1,0.9975,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Blue mussel,146,6,1,0.9976,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Algae,Ascophyllum nodosum,Plant tissue,"Coastal, fjord",Not reported,mg/kg (wet),Egg wrack,147,5,1,0.9976,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Edible crab,148,5,1,0.9977,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Urasterias lincki,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),,149,5,1,0.9978,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Kidney,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),Hooded seal,150,5,1,0.9978,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Liver,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),Hooded seal,151,5,1,0.9979,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Phoca groenlandica,Kidney,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),Harp seal,152,5,1,0.9979,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Phoca groenlandica,Liver,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),Harp seal,153,5,1,0.998,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Worms,Arenicola marina,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Lugworm,154,5,1,0.998,tail,FALSE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Other,mg/kg (wet),,155,4,1,0.9981,tail,FALSE,FALSE,,,
Aquatic,Brackish/Transitional Water,,,,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),,156,4,1,0.9981,tail,FALSE,TRUE,,,
Aquatic,Porewater,,,,"Coastal, fjord",Other,mg/kg (wet),,157,4,1,0.9981,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Liver,"Coastal, fjord",Not reported,mg/kg (wet),Edible crab,158,4,1,0.9982,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Brosme brosme,Liver,"Coastal, fjord",Not reported,mg/kg (wet),Cusk,159,4,1,0.9982,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Labrus bergylta,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Ballan wrasse,160,4,1,0.9983,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Leuciscus cephalus,Muscle,"River, stream, canal",Not reported,mg/kg (wet),European chub,161,4,1,0.9983,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Melanogrammus aeglefinus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Haddock,162,4,1,0.9983,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Gill,"River, stream, canal",Not reported,mg/kg (dry),European perch,163,4,1,0.9984,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Liver,"River, stream, canal",Not reported,mg/kg (wet),European perch,164,4,1,0.9984,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Gorgonocephalus arcticus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),Northern basket star,165,4,1,0.9985,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Pontaster tenuispinus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),,166,4,1,0.9985,tail,FALSE,TRUE,,,
Biota,"Biota, Terrestrial",Birds,Larus argentatus,Egg,"Coastal, fjord",Not reported,mg/kg (wet),Herring gull,167,4,1,0.9986,tail,FALSE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Not relevant,mg/kg (dry),,168,3,1,0.9986,tail,FALSE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"Lake, pond, pool, reservoir","Water column, pelagic zone",mg/kg (dry),,169,3,1,0.9986,tail,FALSE,FALSE,,,
Aquatic,Freshwater,,,,"Drainage, sewer, artificial water",Water surface,mg/L,,170,3,1,0.9987,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Mysis relicta,Total soft tissues,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Common Northern European opossum shrimp,171,3,1,0.9987,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Ecosystem,Zooplankton epilimnion,Total soft tissues,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),,172,3,1,0.9987,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Centrolabrus exoletus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Rock cook,173,3,1,0.9987,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Esox lucius,Liver,"River, stream, canal",Not reported,mg/kg (wet),Northern pike,174,3,1,0.9988,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Esox lucius,Muscle,"River, stream, canal",Not reported,mg/kg (wet),Northern pike,175,3,1,0.9988,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Lamna nasus,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),American porbeagle,176,3,1,0.9988,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Molva molva,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Ling,177,3,1,0.9989,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),European perch,178,3,1,0.9989,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Pollachius pollachius,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Pollack,179,3,1,0.9989,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Squalus acanthias,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Spiny dogfish,180,3,1,0.999,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Insecta,Whole body,"River, stream, canal",Not reported,mg/kg (wet),Insects,181,3,1,0.999,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Pteraster pulvillus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),,182,3,1,0.999,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Strongylocentrotus pallidus,Echinoid corona,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),Pale sea urchin,183,3,1,0.9991,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Orcinus orca,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Killer whale,184,3,1,0.9991,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Nucella lapillus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Atlantic dog whelk,185,3,1,0.9991,tail,FALSE,FALSE,,,
Biota,"Biota, Terrestrial",Birds,Gulosus aristotelis,Egg,"Coastal, fjord",Not reported,mg/kg (wet),,186,3,1,0.9992,tail,FALSE,FALSE,,,
Biota,"Biota, Terrestrial",Birds,Somateria mollissima,Egg,"Coastal, fjord",Not reported,mg/kg (wet),Common eider,187,3,1,0.9992,tail,FALSE,FALSE,,,
Biota,"Biota, Terrestrial",Moss/Hornworts,Fontinalis antipyretica,Plant tissue,"River, stream, canal",Not reported,mg/kg (wet),,188,3,1,0.9992,tail,FALSE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"Groundwater, aquifer","Water column, pelagic zone",mg/kg (dry),,189,2,1,0.9992,tail,FALSE,FALSE,,,
Aquatic,Groundwater,,,,"Drainage, sewer, artificial water",Water surface,mg/L,,190,2,1,0.9993,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Actinopterygii,Liver,"Coastal, fjord",Not reported,mg/kg (wet),Ray-finned fishes,191,2,1,0.9993,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Actinopterygii,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Ray-finned fishes,192,2,1,0.9993,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Esox lucius,Whole body,"River, stream, canal",Not reported,mg/kg (wet),Northern pike,193,2,1,0.9993,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Gadidae,Liver,"Coastal, fjord",Not reported,mg/kg (wet),Cods,194,2,1,0.9993,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Gadidae,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Cods,195,2,1,0.9994,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Leuciscus idus,Gill,"River, stream, canal",Not reported,mg/kg (dry),Ide,196,2,1,0.9994,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Leuciscus idus,Liver,"River, stream, canal",Not reported,mg/kg (wet),Ide,197,2,1,0.9994,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Muscle,"River, stream, canal",Not reported,mg/kg (wet),European perch,198,2,1,0.9994,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Pollachius pollachius,Liver,"Coastal, fjord",Not reported,mg/kg (dry),Pollack,199,2,1,0.9994,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Pollachius pollachius,Liver,"Coastal, fjord",Not reported,mg/kg (wet),Pollack,200,2,1,0.9995,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Chironomidae,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Nonbiting midges,201,2,1,0.9995,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Gorgonocephalus lamarckii,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),,202,2,1,0.9995,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Ophiopleura borealis,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),,203,2,1,0.9995,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Ophiura sarsii,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),Notched brittle star,204,2,1,0.9996,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Pteraster obscurus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),Obscure cushion star,205,2,1,0.9996,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Other,Bunndyr,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),,206,2,1,0.9996,tail,FALSE,FALSE,,,
Aquatic,Marine/Salt Water,,,,"Coastal, fjord",Not relevant,mg/L,,207,1,1,0.9996,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Lithodidae,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Stone and king crabs,208,1,1,0.9996,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Nephrops norvegicus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Norway lobster,209,1,1,0.9996,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Palaemon adspersus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Baltic prawn,210,1,1,0.9996,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Esox lucius,Gill,"River, stream, canal",Not reported,mg/kg (dry),Northern pike,211,1,1,0.9996,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Gymnocephalus cernuus,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Ruffe,212,1,1,0.9997,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Labrus bergylta,Liver,"Coastal, fjord",Not reported,mg/kg (wet),Ballan wrasse,213,1,1,0.9997,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Labrus bergylta,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Ballan wrasse,214,1,1,0.9997,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Labrus mixtus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Cuckoo wrasse,215,1,1,0.9997,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Leuciscus cephalus,Whole body,"River, stream, canal",Not reported,mg/kg (wet),European chub,216,1,1,0.9997,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Limanda limanda,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Common dab,217,1,1,0.9997,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Melanogrammus aeglefinus,Liver,"Coastal, fjord",Not reported,mg/kg (wet),Haddock,218,1,1,0.9997,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Platichthys flesus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),European flounder,219,1,1,0.9997,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Rutilus rutilus,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Roach minnow,220,1,1,0.9997,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Salmo trutta,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),River trout,221,1,1,0.9997,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Sander lucioperca,Bile,"River, stream, canal",Not reported,mg/kg (wet),Pikeperch,222,1,1,0.9998,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Somniosus microcephalus,Muscle,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Greenland sleeper shark,223,1,1,0.9998,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Trisopterus minutus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Poor cod,224,1,1,0.9998,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Astacus astacus,Total soft tissues,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Noble crayfish,225,1,1,0.9998,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Crossaster papposus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),Common sun star,226,1,1,0.9998,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Hippasteria phrygiana,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),Arctic cushion star,227,1,1,0.9998,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Icasterias panopla,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),,228,1,1,0.9998,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Balaenoptera physalus,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Fin whale,229,1,1,0.9998,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Lagenorhynchus albirostris,Muscle,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),White-beaked dolphin,230,1,1,0.9998,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Megaptera novaeangliae,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Humpback whale,231,1,1,0.9999,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Physeter macrocephalus,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Sperm whale,232,1,1,0.9999,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Acesta excavata,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),,233,1,1,0.9999,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Buccinum undatum,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Waved whelk,234,1,1,0.9999,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Erginus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),,235,1,1,0.9999,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Gastropoda,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Gastropods,236,1,1,0.9999,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Lepetella,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),,237,1,1,0.9999,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Worms,Eisenia hortensis,Total soft tissues,"River, stream, canal",Not reported,mg/kg (wet),,238,1,1,0.9999,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Worms,Lumbricus,Total soft tissues,"River, stream, canal",Not reported,mg/kg (wet),,239,1,1,0.9999,tail,FALSE,FALSE,,,
Biota,"Biota, Terrestrial",Birds,Turdus pilaris,Egg,"River, stream, canal",Not reported,mg/kg (wet),,240,1,1,0.9999,tail,FALSE,FALSE,,,
Biota,"Biota, Terrestrial",Mammals,Capreolus capreolus,Liver,"River, stream, canal",Not reported,mg/kg (wet),Western roe deer,241,1,1,1,tail,FALSE,FALSE,,,
Biota,"Biota, Terrestrial",Mammals,Phocoena phocoena,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Harbor porpoise,242,1,1,1,tail,FALSE,FALSE,,,
Biota,"Biota, Terrestrial",Mammals,Phocoena phocoena,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Harbor porpoise,243,1,1,1,tail,FALSE,FALSE,,,
Biota,"Biota, Terrestrial",Mammals,Phocoena phocoena,Muscle,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Harbor porpoise,244,1,1,1,tail,FALSE,FALSE,,,
Biota,"Biota, Terrestrial",Moss/Hornworts,Hylocomium splendens,Plant tissue,"Coastal, fjord",Not reported,mg/kg (dry),,245,1,1,1,tail,FALSE,FALSE,,,
