ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,group_id
Biota,"Biota, Aquatic",Crustaceans,Lithodidae,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G208
Biota,"Biota, Aquatic",Crustaceans,Nephrops norvegicus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G209
Biota,"Biota, Aquatic",Crustaceans,Palaemon adspersus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G210
Biota,"Biota, Aquatic",Fish,Esox lucius,Gill,"River, stream, canal",Not reported,mg/kg (dry),G211
Biota,"Biota, Aquatic",Fish,Gymnocephalus cernuus,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G212
Biota,"Biota, Aquatic",Fish,Labrus bergylta,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G213
Biota,"Biota, Aquatic",Fish,Labrus bergylta,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G214
Biota,"Biota, Aquatic",Fish,Labrus mixtus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G215
Biota,"Biota, Aquatic",Fish,Leuciscus cephalus,Whole body,"River, stream, canal",Not reported,mg/kg (wet),G216
Biota,"Biota, Aquatic",Fish,Limanda limanda,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G217
Biota,"Biota, Aquatic",Fish,Melanogrammus aeglefinus,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G218
Biota,"Biota, Aquatic",Fish,Platichthys flesus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G219
Biota,"Biota, Aquatic",Fish,Rutilus rutilus,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G220
Biota,"Biota, Aquatic",Fish,Salmo trutta,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G221
Biota,"Biota, Aquatic",Fish,Sander lucioperca,Bile,"River, stream, canal",Not reported,mg/kg (wet),G222
Biota,"Biota, Aquatic",Fish,Somniosus microcephalus,Muscle,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G223
Biota,"Biota, Aquatic",Fish,Trisopterus minutus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G224
Biota,"Biota, Aquatic",Invertebrates,Astacus astacus,Total soft tissues,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G225
Biota,"Biota, Aquatic",Invertebrates,Crossaster papposus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G226
Biota,"Biota, Aquatic",Invertebrates,Hippasteria phrygiana,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G227
Biota,"Biota, Aquatic",Invertebrates,Icasterias panopla,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G228
Biota,"Biota, Aquatic",Mammals,Balaenoptera physalus,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G229
Biota,"Biota, Aquatic",Mammals,Lagenorhynchus albirostris,Muscle,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G230
Biota,"Biota, Aquatic",Mammals,Megaptera novaeangliae,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G231
Biota,"Biota, Aquatic",Mammals,Physeter macrocephalus,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G232
Biota,"Biota, Aquatic",Molluscs,Acesta excavata,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G233
Biota,"Biota, Aquatic",Molluscs,Buccinum undatum,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G234
Biota,"Biota, Aquatic",Molluscs,Erginus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G235
Biota,"Biota, Aquatic",Molluscs,Gastropoda,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G236
Biota,"Biota, Aquatic",Molluscs,Lepetella,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G237
Biota,"Biota, Aquatic",Worms,Eisenia hortensis,Total soft tissues,"River, stream, canal",Not reported,mg/kg (wet),G238
Biota,"Biota, Aquatic",Worms,Lumbricus,Total soft tissues,"River, stream, canal",Not reported,mg/kg (wet),G239
Biota,"Biota, Terrestrial",Birds,Turdus pilaris,Egg,"River, stream, canal",Not reported,mg/kg (wet),G240
Biota,"Biota, Terrestrial",Mammals,Capreolus capreolus,Liver,"River, stream, canal",Not reported,mg/kg (wet),G241
Biota,"Biota, Terrestrial",Mammals,Phocoena phocoena,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G242
Biota,"Biota, Terrestrial",Mammals,Phocoena phocoena,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G243
Biota,"Biota, Terrestrial",Mammals,Phocoena phocoena,Muscle,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G244
Biota,"Biota, Terrestrial",Moss/Hornworts,Hylocomium splendens,Plant tissue,"Coastal, fjord",Not reported,mg/kg (dry),G245
