SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,CAMPAIGN_NAME_SHORT
KittiwakeKongs2007_Kongsfjorden,Copper,11/05/2007,"Biota, Other",liver,,,,,,,,,,,,S01_Other_KittiwakeK,E01_Microwaveassist_KittiwakeK,E01_Microwaveassist_KittiwakeK,A01_Icpms_KittiwakeK,2015verjordetToxicAndEssential,KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-05-11-Rliver,Biota,Stressor,Concentration,,KittiwakeKongs2007
KittiwakeKongs2007_Kongsfjorden,Copper,11/05/2007,"Biota, Other",muscle,,,,,,,,,,,,S01_Other_KittiwakeK,E01_Microwaveassist_KittiwakeK,E01_Microwaveassist_KittiwakeK,A01_Icpms_KittiwakeK,2015verjordetToxicAndEssential,KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-05-11-Rmuscle,Biota,Stressor,Concentration,,KittiwakeKongs2007
KittiwakeKongs2007_Kongsfjorden,Copper,21/07/2007,"Biota, Other",liver,,,,,,,,,,,,S01_Other_KittiwakeK,E01_Microwaveassist_KittiwakeK,E01_Microwaveassist_KittiwakeK,A01_Icpms_KittiwakeK,2015verjordetToxicAndEssential,KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-07-21-Rliver,Biota,Stressor,Concentration,,KittiwakeKongs2007
KittiwakeKongs2007_Kongsfjorden,Copper,21/07/2007,"Biota, Other",muscle,,,,,,,,,,,,S01_Other_KittiwakeK,E01_Microwaveassist_KittiwakeK,E01_Microwaveassist_KittiwakeK,A01_Icpms_KittiwakeK,2015verjordetToxicAndEssential,KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-07-21-Rmuscle,Biota,Stressor,Concentration,,KittiwakeKongs2007
KittiwakeKongs2007_Kongsfjorden,Copper,05/10/2007,"Biota, Other",liver,,,,,,,,,,,,S01_Other_KittiwakeK,E01_Microwaveassist_KittiwakeK,E01_Microwaveassist_KittiwakeK,A01_Icpms_KittiwakeK,2015verjordetToxicAndEssential,KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-10-05-Rliver,Biota,Stressor,Concentration,,KittiwakeKongs2007
KittiwakeKongs2007_Kongsfjorden,Copper,05/10/2007,"Biota, Other",muscle,,,,,,,,,,,,S01_Other_KittiwakeK,E01_Microwaveassist_KittiwakeK,E01_Microwaveassist_KittiwakeK,A01_Icpms_KittiwakeK,2015verjordetToxicAndEssential,KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-10-05-Rmuscle,Biota,Stressor,Concentration,,KittiwakeKongs2007
