"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-05-11-Rliver","KittiwakeKongs2007_Kongsfjorden","Copper","Biota","Biota, Other","Internal","2007-05-11","liver","Birds","Rissa tridactyla","Liver","Adult","Mixed",""
"KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-07-21-Rliver","KittiwakeKongs2007_Kongsfjorden","Copper","Biota","Biota, Other","Internal","2007-07-21","liver","Birds","Rissa tridactyla","Liver","Adult","Mixed",""
"KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-10-05-Rliver","KittiwakeKongs2007_Kongsfjorden","Copper","Biota","Biota, Other","Internal","2007-10-05","liver","Birds","Rissa tridactyla","Liver","Adult","Mixed",""
"KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-05-11-Rmuscle","KittiwakeKongs2007_Kongsfjorden","Copper","Biota","Biota, Other","Internal","2007-05-11","muscle","Birds","Rissa tridactyla","Muscle","Adult","Mixed",""
"KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-07-21-Rmuscle","KittiwakeKongs2007_Kongsfjorden","Copper","Biota","Biota, Other","Internal","2007-07-21","muscle","Birds","Rissa tridactyla","Muscle","Adult","Mixed",""
"KittiwakeKongs2007_Kongsfjorden-Copper-BiotaOther-2007-10-05-Rmuscle","KittiwakeKongs2007_Kongsfjorden","Copper","Biota","Biota, Other","Internal","2007-10-05","muscle","Birds","Rissa tridactyla","Muscle","Adult","Mixed",""
