"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"RuglaNaustebeRoros97_Rugla","Rugla River at Røros","Copper","Stressor","Biota","Biota, Aquatic","Internal","1997-06-01","gills","RuglaNaustebeRoros97_Rugla-Copper-BiotaAquatic-1997-06-01-Rgills"
"RuglaNaustebeRoros97_Rugla","Rugla River at Røros","Copper","Stressor","Biota","Biota, Aquatic","Internal","1997-06-01","liver","RuglaNaustebeRoros97_Rugla-Copper-BiotaAquatic-1997-06-01-Rliver"
"RuglaNaustebeRoros97_Rugla","Rugla River at Røros","Copper","Stressor","Biota","Biota, Aquatic","Internal","1997-06-01","kidneys","RuglaNaustebeRoros97_Rugla-Copper-BiotaAquatic-1997-06-01-Rkidneys"
"RuglaNaustebeRoros97_Naustebekken","Naustebekken River at Røros","Copper","Stressor","Biota","Biota, Aquatic","Internal","1997-06-01","gills","RuglaNaustebeRoros97_Naustebekken-Copper-BiotaAquatic-1997-06-01-Rgills"
"RuglaNaustebeRoros97_Naustebekken","Naustebekken River at Røros","Copper","Stressor","Biota","Biota, Aquatic","Internal","1997-06-01","liver","RuglaNaustebeRoros97_Naustebekken-Copper-BiotaAquatic-1997-06-01-Rliver"
"RuglaNaustebeRoros97_Naustebekken","Naustebekken River at Røros","Copper","Stressor","Biota","Biota, Aquatic","Internal","1997-06-01","kidneys","RuglaNaustebeRoros97_Naustebekken-Copper-BiotaAquatic-1997-06-01-Rkidneys"
"RuglaNaustebeRoros97_Rugla","Rugla River at Røros","Copper","Stressor","Aquatic","Freshwater","External","1997-06-01","1","RuglaNaustebeRoros97_Rugla-Copper-Freshwater-1997-06-01-R 1"
"RuglaNaustebeRoros97_Naustebekken","Naustebekken River at Røros","Copper","Stressor","Aquatic","Freshwater","External","1997-06-01","1","RuglaNaustebeRoros97_Naustebekken-Copper-Freshwater-1997-06-01-R 1"
