SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT
Trondheim2016_LARA,Copper,01/10/2016,Sludge,sludge,,90,Standard Deviation,90,82.7,mg/kg (wet),6,,,,,S01_CompositeSampli_Trondheim2,E01_Filtration_Trondheim2,E01_Filtration_Trondheim2,A01_InductivelyCoup_Trondheim2,2020FarkasMonitoringAndModelling,Trondheim2016_LARA-Copper-AquaticSedim-2016-10-01-R 1,Aquatic,Stressor,Concentration,Mean over 24h x sample size? Also reported in paper as dry weight.
Trondheim2016_HØRA,Copper,01/10/2016,Sludge,sludge,,105,Standard Deviation,105.32,104.68,mg/kg (wet),5,,,,,S01_CompositeSampli_Trondheim2,E01_Filtration_Trondheim2,E01_Filtration_Trondheim2,A01_InductivelyCoup_Trondheim2,2020FarkasMonitoringAndModelling,Trondheim2016_HØRA-Copper-AquaticSedim-2016-10-01-R 1,Aquatic,Stressor,Concentration,Mean over 24h x sample size? Also reported in paper as dry weight.
Trondheim2016_LARA,Copper,01/10/2016,Wastewater,wastewater in,,80.4,Standard Deviation,93.4,67.4,µg/L,3,,,,,S01_CompositeSampli_Trondheim2,E01_Filtration_Trondheim2,E01_Filtration_Trondheim2,A01_InductivelyCoup_Trondheim2,2020FarkasMonitoringAndModelling,Trondheim2016_LARA-Copper-Wastewater-2016-10-01-Rwastewater in,Aquatic,Stressor,Concentration,Mean over 24h x sample size?
Trondheim2016_HØRA,Copper,01/10/2016,Wastewater,wastewater in,,94.6,Standard Deviation,113.2,76,µg/L,2,,,,,S01_CompositeSampli_Trondheim2,E01_Filtration_Trondheim2,E01_Filtration_Trondheim2,A01_InductivelyCoup_Trondheim2,2020FarkasMonitoringAndModelling,Trondheim2016_HØRA-Copper-Wastewater-2016-10-01-Rwastewater in,Aquatic,Stressor,Concentration,Mean over 24h x sample size?
Trondheim2016_LARA,Copper,01/10/2016,Wastewater,wastewater out,,33.5,Standard Deviation,40.41,26.59,µg/L,3,,,,,S01_CompositeSampli_Trondheim2,E01_Filtration_Trondheim2,E01_Filtration_Trondheim2,A01_InductivelyCoup_Trondheim2,2020FarkasMonitoringAndModelling,Trondheim2016_LARA-Copper-Wastewater-2016-10-01-Rwastewater out,Aquatic,Stressor,Concentration,Mean over 24h x sample size?
Trondheim2016_HØRA,Copper,01/10/2016,Wastewater,wastewater out,,59.4,Standard Deviation,81,37.8,µg/L,2,,,,,S01_CompositeSampli_Trondheim2,E01_Filtration_Trondheim2,E01_Filtration_Trondheim2,A01_InductivelyCoup_Trondheim2,2020FarkasMonitoringAndModelling,Trondheim2016_HØRA-Copper-Wastewater-2016-10-01-Rwastewater out,Aquatic,Stressor,Concentration,Mean over 24h x sample size?
