"SITE_CODE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_SUB","SITE_COORDINATE_SYSTEM","LATITUDE","LONGITUDE","COUNTRY","AREA","ALTITUDE_VALUE","ALTITUDE_UNIT","ENTERED_BY","ENTERED_DATE","SITE_COMMENT"
"GlommaCu1990-95_1","Glomma estuary station 1","Estuary","Water benthos","WGS 84",59.052,10.974,"Norway","Norway",20,"m","Sam Welch","2025-11-04","Located in the outer part of the Glomma estuary. Sampled in 1990, 1994 and 1995. Coordinates estimated (3 d.p.) from Figure 1."
"GlommaCu1990-95_2","Glomma estuary station 2","Estuary","Water benthos","WGS 84",59.129,10.964,"Norway","Norway",20,"m","Sam Welch","2025-11-04","Located near the river mouth in the inner part of the estuary. Sampled in 1990, 1994 and 1995. Coordinates estimated (3 d.p.) from Figure 1."
"GlommaCu1990-95_3","Glomma estuary station 3","Estuary","Water benthos","WGS 84",59.111,11.037,"Norway","Norway",20,"m","Sam Welch","2025-11-04","Located in the Glomma estuary. Sampled in 1990, 1994 and 1995. Coordinates estimated (3 d.p.) from Figure 1."
"GlommaCu1990-95_4","Glomma estuary station 4","Estuary","Water benthos","WGS 84",59.111,11.167,"Norway","Norway",20,"m","Sam Welch","2025-11-04","Located to the east of the main estuary. Sampled in 1990, 1994 and 1995. High variability in Al and TOC concentrations, may be influenced by other particle sources than river Glomma. Coordinates estimated (3 d.p.) from Figure 1."
"GlommaCu1990-95_5","Oslofjord station 5","Ocean, sea, territorial waters","Water benthos","WGS 84",59.147,10.856,"Norway","Norway",20,"m","Sam Welch","2025-11-04","Located in the Oslofjord outside the estuary. Sampled only in 1995. Coordinates estimated (3 d.p.) from Figure 1."
"GlommaCu1990-95_6","Oslofjord station 6","Ocean, sea, territorial waters","Water benthos","WGS 84",59.006,10.908,"Norway","Norway",20,"m","Sam Welch","2025-11-04","Located in the Oslofjord outside the estuary. Sampled only in 1995. Coordinates estimated (3 d.p.) from Figure 1."
"GlommaCu1990-95_7","Oslofjord station 7","Ocean, sea, territorial waters","Water benthos","WGS 84",59.001,10.8,"Norway","Norway",20,"m","Sam Welch","2025-11-04","Located in the Oslofjord outside the estuary. Sampled only in 1995. Coordinates estimated (3 d.p.) from Figure 1."
"GlommaCu1990-95_8","Oslofjord station 8","Ocean, sea, territorial waters","Water benthos","WGS 84",58.994,10.974,"Norway","Norway",20,"m","Sam Welch","2025-11-04","Located in the Oslofjord outside the estuary. Sampled only in 1995. Coordinates estimated (3 d.p.) from Figure 1."
