ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,group_id
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G158-Bc-Cnr-C-pag-Liv-Mw
Biota,"Biota, Aquatic",Fish,Brosme brosme,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G159-Bf-Cnr-B-bro-Liv-Mw
Biota,"Biota, Aquatic",Fish,Labrus bergylta,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G160-Bf-Cnr-L-ber-Wbd-Mw
Biota,"Biota, Aquatic",Fish,Leuciscus cephalus,Muscle,"River, stream, canal",Not reported,mg/kg (wet),G161-Bf-Rnr-L-cep-Mus-Mw
Biota,"Biota, Aquatic",Fish,Melanogrammus aeglefinus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G162-Bf-Cnr-M-aeg-Mus-Mw
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Gill,"River, stream, canal",Not reported,mg/kg (dry),G163-Bf-Rnr-P-flu-Gil-Md
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Liver,"River, stream, canal",Not reported,mg/kg (wet),G164-Bf-Rnr-P-flu-Liv-Mw
Biota,"Biota, Aquatic",Invertebrates,Gorgonocephalus arcticus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G165-Bi-Owb-G-arc-Dsk-Md
Biota,"Biota, Aquatic",Invertebrates,Pontaster tenuispinus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G166-Bi-Owb-P-ten-Dsk-Md
Biota,"Biota, Terrestrial",Birds,Larus argentatus,Egg,"Coastal, fjord",Not reported,mg/kg (wet),G167-Bb-Cnr-L-arg-Egg-Mw
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Not relevant,mg/kg (dry),G168-Wsd-Cnv-Md
Aquatic,Aquatic Sediment,,,,"Lake, pond, pool, reservoir","Water column, pelagic zone",mg/kg (dry),G169-Wsd-Lwc-Md
Aquatic,Freshwater,,,,"Drainage, sewer, artificial water",Water surface,mg/L,G170-Wfw-Dws-C
Biota,"Biota, Aquatic",Crustaceans,Mysis relicta,Total soft tissues,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G171-Bc-Lnr-M-rel-Tst-Mw
Biota,"Biota, Aquatic",Ecosystem,Zooplankton epilimnion,Total soft tissues,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G172-Be-Lnr-Z-epi-Tst-Mw
Biota,"Biota, Aquatic",Fish,Centrolabrus exoletus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G173-Bf-Cnr-C-exo-Wbd-Mw
Biota,"Biota, Aquatic",Fish,Esox lucius,Liver,"River, stream, canal",Not reported,mg/kg (wet),G174-Bf-Rnr-E-luc-Liv-Mw
Biota,"Biota, Aquatic",Fish,Esox lucius,Muscle,"River, stream, canal",Not reported,mg/kg (wet),G175-Bf-Rnr-E-luc-Mus-Mw
Biota,"Biota, Aquatic",Fish,Lamna nasus,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G176-Bf-Onr-L-nas-Liv-Mw
Biota,"Biota, Aquatic",Fish,Molva molva,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G177-Bf-Cnr-M-mol-Mus-Mw
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G178-Bf-Lnr-P-flu-Wbd-Mw
Biota,"Biota, Aquatic",Fish,Pollachius pollachius,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G179-Bf-Cnr-P-pol-Mus-Mw
Biota,"Biota, Aquatic",Fish,Squalus acanthias,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G180-Bf-Onr-S-aca-Liv-Mw
Biota,"Biota, Aquatic",Invertebrates,Insecta,Whole body,"River, stream, canal",Not reported,mg/kg (wet),G181-Bi-Rnr-Inse-Wbd-Mw
Biota,"Biota, Aquatic",Invertebrates,Pteraster pulvillus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G182-Bi-Owb-P-pul-Dsk-Md
Biota,"Biota, Aquatic",Invertebrates,Strongylocentrotus pallidus,Echinoid corona,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G183-Bi-Owb-S-pal-Eco-Md
Biota,"Biota, Aquatic",Mammals,Orcinus orca,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G184-Bm-Onr-O-orc-Fat-Mw
Biota,"Biota, Aquatic",Molluscs,Nucella lapillus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G185-Bl-Cnr-N-lap-Tst-Mw
Biota,"Biota, Terrestrial",Birds,Gulosus aristotelis,Egg,"Coastal, fjord",Not reported,mg/kg (wet),G186-Bb-Cnr-G-ari-Egg-Mw
Biota,"Biota, Terrestrial",Birds,Somateria mollissima,Egg,"Coastal, fjord",Not reported,mg/kg (wet),G187-Bb-Cnr-S-mol-Egg-Mw
Biota,"Biota, Terrestrial",Moss/Hornworts,Fontinalis antipyretica,Plant tissue,"River, stream, canal",Not reported,mg/kg (wet),G188-Bh-Rnr-F-ant-Pla-Mw
Aquatic,Aquatic Sediment,,,,"Groundwater, aquifer","Water column, pelagic zone",mg/kg (dry),G189-Wsd-Gwc-Md
Aquatic,Groundwater,,,,"Drainage, sewer, artificial water",Water surface,mg/L,G190-Wgw-Dws-C
Biota,"Biota, Aquatic",Fish,Actinopterygii,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G191-Bf-Cnr-Acti-Liv-Mw
Biota,"Biota, Aquatic",Fish,Actinopterygii,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G192-Bf-Cnr-Acti-Mus-Mw
Biota,"Biota, Aquatic",Fish,Esox lucius,Whole body,"River, stream, canal",Not reported,mg/kg (wet),G193-Bf-Rnr-E-luc-Wbd-Mw
Biota,"Biota, Aquatic",Fish,Gadidae,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G194-Bf-Cnr-Gadi-Liv-Mw
Biota,"Biota, Aquatic",Fish,Gadidae,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G195-Bf-Cnr-Gadi-Mus-Mw
Biota,"Biota, Aquatic",Fish,Leuciscus idus,Gill,"River, stream, canal",Not reported,mg/kg (dry),G196-Bf-Rnr-L-idu-Gil-Md
Biota,"Biota, Aquatic",Fish,Leuciscus idus,Liver,"River, stream, canal",Not reported,mg/kg (wet),G197-Bf-Rnr-L-idu-Liv-Mw
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Muscle,"River, stream, canal",Not reported,mg/kg (wet),G198-Bf-Rnr-P-flu-Mus-Mw
Biota,"Biota, Aquatic",Fish,Pollachius pollachius,Liver,"Coastal, fjord",Not reported,mg/kg (dry),G199-Bf-Cnr-P-pol-Liv-Md
Biota,"Biota, Aquatic",Fish,Pollachius pollachius,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G200-Bf-Cnr-P-pol-Liv-Mw
Biota,"Biota, Aquatic",Invertebrates,Chironomidae,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G201-Bi-Lnr-Chir-Wbd-Mw
Biota,"Biota, Aquatic",Invertebrates,Gorgonocephalus lamarckii,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G202-Bi-Owb-G-lam-Dsk-Md
Biota,"Biota, Aquatic",Invertebrates,Ophiopleura borealis,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G203-Bi-Owb-O-bor-Dsk-Md
Biota,"Biota, Aquatic",Invertebrates,Ophiura sarsii,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G204-Bi-Owb-O-sar-Dsk-Md
Biota,"Biota, Aquatic",Invertebrates,Pteraster obscurus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G205-Bi-Owb-P-obs-Dsk-Md
Biota,"Biota, Aquatic",Other,Bunndyr,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G206-Bx-Cnr-Bunn-Tst-Mw
Aquatic,Marine/Salt Water,,,,"Coastal, fjord",Not relevant,mg/L,G207-Wmw-Cnv-C
Biota,"Biota, Aquatic",Crustaceans,Lithodidae,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G208-Bc-Cnr-Lith-Tst-Mw
Biota,"Biota, Aquatic",Crustaceans,Nephrops norvegicus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G209-Bc-Cnr-N-nor-Mus-Mw
Biota,"Biota, Aquatic",Crustaceans,Palaemon adspersus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G210-Bc-Cnr-P-ads-Tst-Mw
Biota,"Biota, Aquatic",Fish,Esox lucius,Gill,"River, stream, canal",Not reported,mg/kg (dry),G211-Bf-Rnr-E-luc-Gil-Md
Biota,"Biota, Aquatic",Fish,Gymnocephalus cernuus,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G212-Bf-Lnr-G-cer-Wbd-Mw
Biota,"Biota, Aquatic",Fish,Labrus bergylta,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G213-Bf-Cnr-L-ber-Liv-Mw
Biota,"Biota, Aquatic",Fish,Labrus bergylta,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G214-Bf-Cnr-L-ber-Mus-Mw
Biota,"Biota, Aquatic",Fish,Labrus mixtus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G215-Bf-Cnr-L-mix-Wbd-Mw
Biota,"Biota, Aquatic",Fish,Leuciscus cephalus,Whole body,"River, stream, canal",Not reported,mg/kg (wet),G216-Bf-Rnr-L-cep-Wbd-Mw
Biota,"Biota, Aquatic",Fish,Limanda limanda,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G217-Bf-Cnr-L-lim-Mus-Mw
Biota,"Biota, Aquatic",Fish,Melanogrammus aeglefinus,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G218-Bf-Cnr-M-aeg-Liv-Mw
Biota,"Biota, Aquatic",Fish,Platichthys flesus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G219-Bf-Cnr-P-fle-Mus-Mw
Biota,"Biota, Aquatic",Fish,Rutilus rutilus,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G220-Bf-Lnr-R-rut-Wbd-Mw
Biota,"Biota, Aquatic",Fish,Salmo trutta,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G221-Bf-Lnr-S-tru-Wbd-Mw
Biota,"Biota, Aquatic",Fish,Sander lucioperca,Bile,"River, stream, canal",Not reported,mg/kg (wet),G222-Bf-Rnr-S-luc-Bil-Mw
Biota,"Biota, Aquatic",Fish,Somniosus microcephalus,Muscle,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G223-Bf-Onr-S-mic-Mus-Mw
Biota,"Biota, Aquatic",Fish,Trisopterus minutus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G224-Bf-Cnr-T-min-Wbd-Mw
Biota,"Biota, Aquatic",Invertebrates,Astacus astacus,Total soft tissues,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G225-Bi-Lnr-A-ast-Tst-Mw
Biota,"Biota, Aquatic",Invertebrates,Crossaster papposus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G226-Bi-Owb-C-pap-Dsk-Md
Biota,"Biota, Aquatic",Invertebrates,Hippasteria phrygiana,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G227-Bi-Owb-H-phr-Dsk-Md
Biota,"Biota, Aquatic",Invertebrates,Icasterias panopla,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G228-Bi-Owb-I-pan-Dsk-Md
Biota,"Biota, Aquatic",Mammals,Balaenoptera physalus,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G229-Bm-Onr-B-phy-Fat-Mw
Biota,"Biota, Aquatic",Mammals,Lagenorhynchus albirostris,Muscle,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G230-Bm-Onr-L-alb-Mus-Mw
Biota,"Biota, Aquatic",Mammals,Megaptera novaeangliae,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G231-Bm-Onr-M-nov-Fat-Mw
Biota,"Biota, Aquatic",Mammals,Physeter macrocephalus,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G232-Bm-Onr-P-mac-Fat-Mw
Biota,"Biota, Aquatic",Molluscs,Acesta excavata,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G233-Bl-Cnr-A-exc-Tst-Mw
Biota,"Biota, Aquatic",Molluscs,Buccinum undatum,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G234-Bl-Cnr-B-und-Wbd-Mw
Biota,"Biota, Aquatic",Molluscs,Erginus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G235-Bl-Cnr-Ergi-Tst-Mw
Biota,"Biota, Aquatic",Molluscs,Gastropoda,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G236-Bl-Lnr-Gast-Wbd-Mw
Biota,"Biota, Aquatic",Molluscs,Lepetella,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G237-Bl-Cnr-Lepe-Tst-Mw
Biota,"Biota, Aquatic",Worms,Eisenia hortensis,Total soft tissues,"River, stream, canal",Not reported,mg/kg (wet),G238-Br-Rnr-E-hor-Tst-Mw
Biota,"Biota, Aquatic",Worms,Lumbricus,Total soft tissues,"River, stream, canal",Not reported,mg/kg (wet),G239-Br-Rnr-Lumb-Tst-Mw
Biota,"Biota, Terrestrial",Birds,Turdus pilaris,Egg,"River, stream, canal",Not reported,mg/kg (wet),G240-Bb-Rnr-T-pil-Egg-Mw
Biota,"Biota, Terrestrial",Mammals,Capreolus capreolus,Liver,"River, stream, canal",Not reported,mg/kg (wet),G241-Bm-Rnr-C-cap-Liv-Mw
Biota,"Biota, Terrestrial",Mammals,Phocoena phocoena,Fat/Adipose,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G242-Bm-Onr-P-pho-Fat-Mw
Biota,"Biota, Terrestrial",Mammals,Phocoena phocoena,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G243-Bm-Onr-P-pho-Liv-Mw
Biota,"Biota, Terrestrial",Mammals,Phocoena phocoena,Muscle,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G244-Bm-Onr-P-pho-Mus-Mw
Biota,"Biota, Terrestrial",Moss/Hornworts,Hylocomium splendens,Plant tissue,"Coastal, fjord",Not reported,mg/kg (dry),G245-Bh-Cnr-H-spl-Pla-Md
Biota,"Biota, Aquatic",Mammals,Pagophilus groenlandicus,Kidney,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),G246-Bm-Ows-P-gro-Kid-Mw
Biota,"Biota, Aquatic",Mammals,Pagophilus groenlandicus,Liver,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),G247-Bm-Ows-P-gro-Liv-Mw
Biota,"Biota, Aquatic",Mammals,Pagophilus groenlandicus,Muscle,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),G248-Bm-Ows-P-gro-Mus-Mw
Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Kidney,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),G249-Bm-Ows-Cy-cri-Kid-Mw
Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Liver,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),G250-Bm-Ows-Cy-cri-Liv-Mw
Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Muscle,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),G251-Bm-Ows-Cy-cri-Mus-Mw
Biota,"Biota, Aquatic",,,,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),G252
Biota,"Biota, Aquatic",Fish,Gadus morhua,Muscle,"Coastal, fjord",Water column,mg/kg (wet),G253
Biota,"Biota, Aquatic",Fish,Hippoglossoides platessoides,Muscle,"Coastal, fjord",Water column,mg/kg (wet),G254
Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Coastal, fjord",Water column,mg/kg (wet),G255
Biota,"Biota, Aquatic",Fish,Melanogrammus aeglefinus,Muscle,"Coastal, fjord",Water column,mg/kg (wet),G256
Biota,"Biota, Aquatic",Fish,Hippoglossus hippoglossus,Muscle,"Coastal, fjord",Water column,mg/kg (wet),G257
Biota,"Biota, Aquatic",Fish,Hippoglossus hippoglossus,Liver,"Coastal, fjord",Water column,mg/kg (wet),G258
Biota,"Biota, Aquatic",Fish,Melanogrammus aeglefinus,Liver,"Coastal, fjord",Water column,mg/kg (wet),G259
Biota,"Biota, Aquatic",Crustaceans,Paralithodes camtschaticus,Muscle,"Coastal, fjord",Water column,mg/kg (wet),G260
Biota,"Biota, Aquatic",Fish,Amblyraja radiata,Liver,"Coastal, fjord",Water column,mg/kg (wet),G261
Biota,"Biota, Aquatic",Fish,Amblyraja radiata,Muscle,"Coastal, fjord",Water column,mg/kg (wet),G262
Biota,"Biota, Aquatic",Fish,Glyptocephalus cynoglossus,Liver,"Coastal, fjord",Water column,mg/kg (wet),G263
Biota,"Biota, Aquatic",Fish,Glyptocephalus cynoglossus,Muscle,"Coastal, fjord",Water column,mg/kg (wet),G264
Biota,"Biota, Aquatic",Crustaceans,Paralithodes camtschaticus,Hepatopancreas,"Coastal, fjord",Water column,mg/kg (wet),G265
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord",Water column,mg/kg (wet),G266
Biota,"Biota, Aquatic",Fish,Hippoglossoides platessoides,Liver,"Coastal, fjord",Water column,mg/kg (wet),G267
Biota,"Biota, Aquatic",Fish,Limanda limanda,Liver,"Coastal, fjord",Water column,mg/kg (wet),G268
Biota,"Biota, Aquatic",Fish,Limanda limanda,Muscle,"Coastal, fjord",Water column,mg/kg (wet),G269
