ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,group_id
Biota,"Biota, Aquatic",Invertebrates,Asterias rubens,Pyloric caeca,"Coastal, fjord",Water benthos,mg/kg (dry),G040-Bi-Cwb-A-rub-Pyl-Md
Biota,"Biota, Aquatic",Fish,Platichthys flesus,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G041-Bf-Cnr-P-fle-Liv-Mw
Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G042-Bf-Lnr-C-lav-Liv-Mw
Biota,"Biota, Aquatic",Fish,Gadus morhua,Muscle,"Ocean, sea, territorial waters",Other,mg/kg (dry),G043-Bf-Oot-G-mor-Mus-Md
Biota,"Biota, Aquatic",Molluscs,Modiolus modiolus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G044-Bl-Cnr-M-mod-Tst-Mw
Biota,"Biota, Aquatic",Fish,Salmo salar,Gill,"River, stream, canal",Not reported,mg/kg (dry),G045-Bf-Rnr-S-sal-Gil-Md
Aquatic,Brackish/Transitional Water,,,,Estuary,Water benthos,mg/kg (dry),G046-Wbw-Uwb-Md
Biota,"Biota, Aquatic",Fish,Gadus morhua,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G047-Bf-Cnr-G-mor-Mus-Mw
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G048-Bf-Lnr-P-flu-Mus-Mw
Biota,"Biota, Aquatic",Fish,Reinhardtius hippoglossoides,Muscle,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),G049-Bf-Owc-R-hip-Mus-Mw
Biota,"Biota, Aquatic",Crustaceans,Metridia longa,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G050-Bc-Owc-M-lon-Wbd-Md
Biota,"Biota, Aquatic",Worms,Polychaeta,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G051-Br-Cnr-Poly-Wbd-Mw
