"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"IPY-COPOL_KONGS-Copper-BiotaTerrest-2007-05-11-R-Muscle","IPY-COPOL_KONGS","Copper","Biota","Biota, Terrestrial","Internal to Organism","2007-05-11","muscle","Birds","Rissa tridactyla","Muscle","Adult","Mixed",""
"IPY-COPOL_KONGS-Copper-BiotaTerrest-2007-05-11-R-Liver","IPY-COPOL_KONGS","Copper","Biota","Biota, Terrestrial","Internal to Organism","2007-05-11","liver","Birds","Rissa tridactyla","Liver","Adult","Mixed",""
"IPY-COPOL_KONGS-Copper-BiotaTerrest-2007-07-21-R-Muscle","IPY-COPOL_KONGS","Copper","Biota","Biota, Terrestrial","Internal to Organism","2007-07-21","muscle","Birds","Rissa tridactyla","Muscle","Adult","Mixed",""
"IPY-COPOL_KONGS-Copper-BiotaTerrest-2007-07-21-R-Liver","IPY-COPOL_KONGS","Copper","Biota","Biota, Terrestrial","Internal to Organism","2007-07-21","liver","Birds","Rissa tridactyla","Liver","Adult","Mixed",""
"IPY-COPOL_KONGS-Copper-BiotaTerrest-2007-10-01-R-Muscle","IPY-COPOL_KONGS","Copper","Biota","Biota, Terrestrial","Internal to Organism","2007-10-01","muscle","Birds","Rissa tridactyla","Muscle","Adult","Mixed",""
"IPY-COPOL_KONGS-Copper-BiotaTerrest-2007-10-01-R-Liver","IPY-COPOL_KONGS","Copper","Biota","Biota, Terrestrial","Internal to Organism","2007-10-01","liver","Birds","Rissa tridactyla","Liver","Adult","Mixed",""
