"SITE_CODE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_SUB","SITE_COORDINATE_SYSTEM","LATITUDE","LONGITUDE","COUNTRY_ISO","OCEAN_IHO","ALTITUDE_VALUE","ALTITUDE_UNIT","ENTERED_BY","ENTERED_DATE","SITE_COMMENT"
"IcelandNucella99_ST","Strandakirkja","Coastal, fjord","Not reported","WGS 84",63.8,-21.7,"Iceland","North Atlantic Ocean",0,"m","SAW","2025-12-17","Remote site with minimal anthropogenic impacts on the southwest coast"
"IcelandNucella99_MA","Másbuðasund","Coastal, fjord","Not reported","WGS 84",64,-22.7,"Iceland","North Atlantic Ocean",0,"m","SAW","2025-12-17","Small fishing village with low human population density on the southwest coast"
"IcelandNucella99_SA","Sandgerði","Coastal, fjord","Not reported","WGS 84",64,-22.7,"Iceland","North Atlantic Ocean",0,"m","SAW","2025-12-17","Small fishing village. Direct wastewater discharges from fish processing plants observed at sampling site"
"IcelandNucella99_VA","Vallarhús","Coastal, fjord","Not reported","WGS 84",64.1,-22.7,"Iceland","North Atlantic Ocean",0,"m","SAW","2025-12-17","Small fishing village with low human population density on the southwest coast"
"IcelandNucella99_GA","Garðskagi","Coastal, fjord","Not reported","WGS 84",64.1,-22.7,"Iceland","North Atlantic Ocean",0,"m","SAW","2025-12-17","Small fishing village with low human population density on the southwest coast"
"IcelandNucella99_GU","Gufunes","Coastal, fjord","Not reported","WGS 84",64.1,-21.8,"Iceland","North Atlantic Ocean",0,"m","SAW","2025-12-17","Located in urban part of capital city Reykjavik. High population density and industries with considerable pollutants. Wastewater pipe from refuse transferral station discharging organic rich wastewater approximately 50m from collection site"
"IcelandNucella99_GR","Grenivík","Coastal, fjord","Not reported","WGS 84",66,-18.2,"Iceland","North Atlantic Ocean",0,"m","SAW","2025-12-17","North coast fjord environment. High numbers of cargo ships and/or trawlers passing to Akureyri town. Metal contamination attributed to anthropogenic inputs from Akureyri town"
"IcelandNucella99_RA","Raufarhöfn","Coastal, fjord","Not reported","WGS 84",66.5,-16,"Iceland","North Atlantic Ocean",0,"m","SAW","2025-12-17","North coast sampling location"
