"SITE_CODE","PARAMETER_NAME","SAMPLING_DATE","ENVIRON_COMPARTMENT_SUB","SUBSAMPLE","MEASURED_FLAG","MEASURED_VALUE","UNCERTAINTY_TYPE","UNCERTAINTY_UPPER","UNCERTAINTY_LOWER","MEASURED_UNIT","MEASURED_N","LOQ_VALUE","LOQ_UNIT","LOD_VALUE","LOD_UNIT","SAMPLING_PROTOCOL","EXTRACTION_PROTOCOL","FRACTIONATION_PROTOCOL","ANALYTICAL_PROTOCOL","REFERENCE_ID","SAMPLE_ID","CAMPAIGN_NAME_SHORT","ENVIRON_COMPARTMENT","PARAMETER_TYPE","MEASURED_TYPE","MEASUREMENT_COMMENT","CAMPAIGN_NAME","CAMPAIGN_START_DATE","CAMPAIGN_END_DATE","RELIABILITY_SCORE","RELIABILITY_EVAL_SYS","CONFIDENTIALITY_EXPIRY_DATE","ORGANISATION","ENTERED_BY","ENTERED_DATE","CAMPAIGN_COMMENT"
"ScottRiver2012_SRG","Copper","2012-07-13","Freshwater","1","",0.054,"Standard Deviation",0.135,0,"μg/L",33,0.03,"μg/L",0.01,"μg/L","S01_PointSampling_ScottRiver","E01_NotReported_ScottRiver","E01_NotReported_ScottRiver","A01_InductivelyCoup_ScottRiver","2021LehmannKonEffectsOfBiotransport","ScottRiver2012_SRG-Copper-Freshwater-2012-07-13-R-1","ScottRiver2012","Aquatic","Stressor","Concentration",,"Scott River trace elements transport study","2012-07-13","2012-08-22",,"Not relevant",,"Maria Curie-Sklodowska University","SA","2025-12-17","Study of 25 trace elements from 84 surface water samples at two river sites, assessing relations to water discharge, precipitation, pH and DOC"
"ScottRiver2012_SRM","Copper","2012-07-13","Freshwater","1","",0.033,"Standard Deviation",0.053,0.013,"μg/L",42,0.03,"μg/L",0.01,"μg/L","S01_PointSampling_ScottRiver","E01_NotReported_ScottRiver","E01_NotReported_ScottRiver","A01_InductivelyCoup_ScottRiver","2021LehmannKonEffectsOfBiotransport","ScottRiver2012_SRM-Copper-Freshwater-2012-07-13-R-1","ScottRiver2012","Aquatic","Stressor","Concentration",,"Scott River trace elements transport study","2012-07-13","2012-08-22",,"Not relevant",,"Maria Curie-Sklodowska University","SA","2025-12-17","Study of 25 trace elements from 84 surface water samples at two river sites, assessing relations to water discharge, precipitation, pH and DOC"
