"PROTOCOL_ID","CAMPAIGN_NAME","PROTOCOL_CATEGORY","PROTOCOL_NAME","PROTOCOL_COMMENT"
"S01_GrabSampling_NansenLega","The Nansen Legacy Project","Sampling Protocol","Grab sampling","Samples collected either via box corer or Van Veen grab. Sediment was collected from the upper 0–2 cm and subsampled into trace-metal free tubes (Falcon) while avoiding all contact with metal equipment."
"F01_AcidExtractable_NansenLega","The Nansen Legacy Project","Fractionation Protocol","Acid extractable fraction","Approximately 250 mg of dried homogenized sediment sample was digested in a 50 % v/v clean HNO3 acid mixture using an Ultraclave (Milestone)."
"E01_AcidDigestion_NansenLega","The Nansen Legacy Project","Extraction Protocol","Acid digestion","Approximately 250 mg of dried homogenized sediment sample was digested in a 50 % v/v clean HNO3 acid mixture using an Ultraclave (Milestone)."
"A01_InductivelyCoup_NansenLega","The Nansen Legacy Project","Analytical Protocol","Inductively coupled plasma mass spectrometry","Samples were analyzed for Al, Fe, and trace elements (Li, V, Cr, Mn, Co, Ni, Cu, Zn, As, Ag, Cd, Pb) on an 8800 triple quadrupole ICP-MS (Agilent Technologies) using O2 or H2 as a reaction gas in MS/MS mode, depending on the element. Accuracy and precision of the method were determined using the certified reference materials MESS-4 (n = 3) and BCR-277R (n = 3), with all recoveries between 82 and 107 %."
