"PROTOCOL_ID","CAMPAIGN_NAME","PROTOCOL_CATEGORY","PROTOCOL_NAME","PROTOCOL_COMMENT"
"S01_Other_IPYCOPOL","International Polar year - Contaminants in Polar Regions","Sampling Protocol","Other","Ten adult kittiwakes were sampled each month using a shotgun."
"F01_Acidextractable_IPYCOPOL","International Polar year - Contaminants in Polar Regions","Fractionation Protocol","Acid extractable fraction","Muscle and liver tissue were lyophilized for 24 h prior to digestion. Dry samples (~0.15 g) were transferred to PTFE-vials (18 mL) together with ultrapure water and nitric acid (4.2 g; HNO3; Scanpure) prior to digestion using a high pressure microwave emitter (Milestone Ultra Clave, EMLS, Leutkirch, Germany). The samples were diluted in ultrapure water to a final volume of 60 mL (0.6 M HNO3)"
"E01_Microwaveassist_IPYCOPOL","International Polar year - Contaminants in Polar Regions","Extraction Protocol","Microwave-assisted acid digestion","Muscle and liver tissue were lyophilized for 24 h prior to digestion. Dry samples (~0.15 g) were transferred to PTFE-vials (18 mL) together with ultrapure water and nitric acid (4.2 g; HNO3; Scanpure) prior to digestion using a high pressure microwave emitter (Milestone Ultra Clave, EMLS, Leutkirch, Germany). The samples were diluted in ultrapure water to a final volume of 60 mL (0.6 M HNO3)"
"A01_InductivelyCoup_IPYCOPOL","International Polar year - Contaminants in Polar Regions","Analytical Protocol","Inductively coupled plasma mass spectrometry","Total Hg, Cd, Zn, Cu and Se were determined by high resolution inductively coupled plasma mass spectrometer (HR–ICP-MS; Thermo Finnigan model Element 2 instrument, Bremen, Germany)"
