"ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY"
"Aquatic","Wastewater","External"
"Aquatic","Aquatic Sediment","External Media"
"Aquatic","Wastewater","External Media"
