SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,CAMPAIGN_NAME_SHORT,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,RELIABILITY_SCORE,RELIABILITY_EVAL_SYS,CONFIDENTIALITY_EXPIRY_DATE,ORGANISATION,ENTERED_BY,ENTERED_DATE,CAMPAIGN_COMMENT
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",embryo liver,,2.98,Not relevant,,,µg/g (wet),1,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoLiver,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",embryo lung,,10.7,Not relevant,,,µg/g (wet),1,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoLung,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",embryo skin,,0.74,Not relevant,,,µg/g (wet),1,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoSkin,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",juve heart,,0.36,Not relevant,,,µg/g (wet),1,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveHeart,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",juve kidney,,2.048,Standard Deviation,2.337,1.759,µg/g (wet),18,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveKidney,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",juve liver,,4.46,Standard Deviation,5.934,2.986,µg/g (wet),16,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveLiver,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",juve lung,,12.526,Standard Deviation,19.655,5.397,µg/g (wet),19,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveLung,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",juve muscle,,0.753,Standard Deviation,0.988,0.518,µg/g (wet),15,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveMuscle,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",juve skin,,0.896,Standard Deviation,1.243,0.549,µg/g (wet),20,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveSkin,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Nansen,Copper,01/08/2020,"Biota, Aquatic",adult skin,,1.195,Standard Deviation,2.404,-0.014,µg/g (wet),6,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Nansen-Copper-BiotaAquatic-2020-08-01-R-AdultSkin,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Nansen,Copper,01/08/2020,"Biota, Aquatic",juve skin,,4.46,Not relevant,,,µg/g (wet),1,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Nansen-Copper-BiotaAquatic-2020-08-01-R-JuveSkin,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Northbrook,Copper,01/08/2020,"Biota, Aquatic",1,,3.96,Not relevant,,,µg/g (wet),1,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Northbrook-Copper-BiotaAquatic-2020-08-01-R-1,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Northbrook,Copper,01/08/2021,"Biota, Aquatic",1,,5.88,Not relevant,,,µg/g (wet),1,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Northbrook-Copper-BiotaAquatic-2021-08-01-R-1,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
