"SITE_CODE","PARAMETER_NAME","SAMPLING_DATE","ENVIRON_COMPARTMENT_SUB","SUBSAMPLE","MEASURED_FLAG","MEASURED_VALUE","UNCERTAINTY_TYPE","UNCERTAINTY_UPPER","UNCERTAINTY_LOWER","MEASURED_UNIT","MEASURED_N","LOQ_VALUE","LOQ_UNIT","LOD_VALUE","LOD_UNIT","SAMPLING_PROTOCOL","EXTRACTION_PROTOCOL","FRACTIONATION_PROTOCOL","ANALYTICAL_PROTOCOL","REFERENCE_ID","SAMPLE_ID","CAMPAIGN_NAME_SHORT","ENVIRON_COMPARTMENT","PARAMETER_TYPE","MEASURED_TYPE","MEASUREMENT_COMMENT","CAMPAIGN_NAME","CAMPAIGN_START_DATE","CAMPAIGN_END_DATE","RELIABILITY_SCORE","RELIABILITY_EVAL_SYS","CONFIDENTIALITY_EXPIRY_DATE","ORGANISATION","ENTERED_BY","ENTERED_DATE","CAMPAIGN_COMMENT"
"Mausund2012-2015_LOC1","Copper","2013-09-01","Biota, Aquatic","cod","",0.7,"Not Relevant",,,"μg/g (dry)",1,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2013-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC2","Copper","2013-09-01","Biota, Aquatic","cod","",0.6,"Standard Deviation",0.74,0.66,"μg/g (dry)",2,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC2-Copper-BiotaAquatic-2013-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC4","Copper","2013-09-01","Biota, Aquatic","cod","",0.7,"Standard Deviation",0.9,0.5,"μg/g (dry)",3,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC4-Copper-BiotaAquatic-2013-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC1","Copper","2014-09-01","Biota, Aquatic","cod","",0.7,"Standard Deviation",0.9,0.5,"μg/g (dry)",12,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC2","Copper","2014-09-01","Biota, Aquatic","cod","",0.5,"Not Relevant",,,"μg/g (dry)",1,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC2-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC4","Copper","2014-09-01","Biota, Aquatic","cod","",0.6,"Standard Deviation",0.64,0.56,"μg/g (dry)",2,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC4-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC1","Copper","2015-09-01","Biota, Aquatic","cod","",0.8,"Standard Deviation",1.2,0.3,"μg/g (dry)",21,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2015-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC5","Copper","2015-09-01","Biota, Aquatic","cod","",0.5,"Standard Deviation",0.54,0.46,"μg/g (dry)",3,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC5-Copper-BiotaAquatic-2015-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC1","Copper","2014-09-01","Biota, Aquatic","halibut","",0.911,"Standard Deviation",2.181,0,"μg/g (dry)",9,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC1","Copper","2015-09-01","Aquatic Sediment","sediment","",2.68,"Standard Deviation",3.08,2.28,"μg/g (dry)",8,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC1-Copper-AquaticSedim-2015-09-01-R-1","Mausund2012-2015","Aquatic","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
