"SITE_CODE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_SUB","SITE_COORDINATE_SYSTEM","LATITUDE","LONGITUDE","COUNTRY_ISO","OCEAN_IHO","ALTITUDE_VALUE","ALTITUDE_UNIT","ENTERED_BY","ENTERED_DATE","SITE_COMMENT"
"WalrusHeavyMetals2019-2021_BigOransky","Big Oransky Islands","Bare land and lichen/moss","Other","WGS 84",76.7,69.3,"Russian Federation","Barents Sea",0,"m","SAW","2025-12-18","Sampling area in the Barents Sea for Atlantic walrus (O. r. rosmarus)"
"WalrusHeavyMetals2019-2021_Northbrook","Northbrook Island, Franz-Josef Archipelago","Bare land and lichen/moss","Other","WGS 84",80,47.5,"Russian Federation","Arctic Ocean",0,"m","SAW","2025-12-18","Sampling area in Franz Josef Land archipelago for Atlantic walrus (O. r. rosmarus)"
"WalrusHeavyMetals2019-2021_Komsomolsky","Komsomolsky, Franz-Josef Archipelago","Bare land and lichen/moss","Other","WGS 84",80.5,54.5,"Russian Federation","Arctic Ocean",0,"m","SAW","2025-12-18","Sampling area in Franz Josef Land archipelago for Atlantic walrus (O. r. rosmarus)"
"WalrusHeavyMetals2019-2021_Nansen","Nansen Island, Franz-Josef Archipelago","Bare land and lichen/moss","Other","WGS 84",80.5,49,"Russian Federation","Arctic Ocean",0,"m","SAW","2025-12-18","Sampling area in Franz Josef Land archipelago for Atlantic walrus (O. r. rosmarus)"
"WalrusHeavyMetals2019-2021_Matilda","Matilda Island, Franz-Josef Archipelago","Bare land and lichen/moss","Other","WGS 84",80.3,49.5,"Russian Federation","Arctic Ocean",0,"m","SAW","2025-12-18","Sampling area in Franz Josef Land archipelago for Atlantic walrus (O. r. rosmarus)"
"WalrusHeavyMetals2019-2021_Harley","Harley Island, Franz-Josef Archipelago","Bare land and lichen/moss","Other","WGS 84",80.7,49,"Russian Federation","Arctic Ocean",0,"m","SAW","2025-12-18","Sampling area in Franz Josef Land archipelago for Atlantic walrus (O. r. rosmarus)"
"WalrusHeavyMetals2019-2021_Apolonov","Apolonov Island, Franz-Josef Archipelago","Bare land and lichen/moss","Other","WGS 84",80.3,51.5,"Russian Federation","Arctic Ocean",0,"m","SAW","2025-12-18","Sampling area in Franz Josef Land archipelago for Atlantic walrus (O. r. rosmarus)"
"WalrusHeavyMetals2019-2021_ThreeRay","Three-ray Island, Franz-Josef Archipelago","Bare land and lichen/moss","Other","WGS 84",80.6,55,"Russian Federation","Arctic Ocean",0,"m","SAW","2025-12-18","Sampling area in Franz Josef Land archipelago for Atlantic walrus (O. r. rosmarus)"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Bare land and lichen/moss","Other","WGS 84",65.5,-171,"Russian Federation","Bering Sea",0,"m","SAW","2025-12-18","Sampling area in the Mechigmensky Gulf of the Bering Sea, near the village of Lorino, for Pacific walrus (O. r. divergens)"
