SITE_CODE,PARAMETER_ME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,SD,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIOTION_PROTOCOL,ALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,CAMPAIGN_NAME_SHORT
SorfjordStarfish2000_S2,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 22-26%) caeca,,35,Standard Deviation,37,72,-2,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S2,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 30%) caeca,,67.5,Standard Deviation,67.5,135,0,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S4,Copper,31/05/2000,"Biota, Aquatic",Black starfish caeca,,23.9,Standard Deviation,10.9,34.8,13,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S4-Copper-BiotaAquatic-2000-05-31-RBlack starfish caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S2,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 22-26%) wall,,40.7,Standard Deviation,21.8,62.5,18.9,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S2,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 30%) wall,,37.7,Standard Deviation,37.7,75.4,0,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S1,Copper,31/05/2000,"Biota, Aquatic",Black starfish wall,,4.7,Standard Deviation,1.4,6.1,3.3,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RBlack starfish wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S3,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 22-26%) caeca,,2.9,Standard Deviation,0.4,3.3,2.5,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S3-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S3,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 30%) caeca,,3.4,Standard Deviation,0.4,3.8,3,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S3-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S2,Copper,31/05/2000,"Biota, Aquatic",Black starfish wall,,4,Standard Deviation,1.3,5.3,2.7,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RBlack starfish wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S3,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 22-26%) wall,,4,Standard Deviation,0.9,4.9,3.1,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S3-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S3,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 30%) wall,,2.7,Standard Deviation,0.4,3.1,2.3,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S3-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S3,Copper,31/05/2000,"Biota, Aquatic",Black starfish wall,,4,Standard Deviation,0.5,4.5,3.5,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S3-Copper-BiotaAquatic-2000-05-31-RBlack starfish wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S4,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 22-26%) caeca,,3.9,Standard Deviation,1.1,5,2.8,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S4-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S4,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 30%) caeca,,3.6,Standard Deviation,0.8,4.4,2.8,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S4-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S4,Copper,31/05/2000,"Biota, Aquatic",Black starfish wall,,3.1,Standard Deviation,0.2,3.3,2.9,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S4-Copper-BiotaAquatic-2000-05-31-RBlack starfish wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S4,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 22-26%) wall,,3.1,Standard Deviation,0.9,4,2.2,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S4-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S4,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 30%) wall,,3,Standard Deviation,1.5,4.5,1.5,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S4-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
