"SITE_CODE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_SUB","SITE_COORDINATE_SYSTEM","LATITUDE","LONGITUDE","COUNTRY_ISO","OCEAN_IHO","ALTITUDE_VALUE","ALTITUDE_UNIT","ENTERED_BY","ENTERED_DATE","SITE_COMMENT"
"BarentsSeaMetals2000_Area1","North Cape Bank","Ocean, sea, territorial waters","Water column, pelagic zone","WGS 84",71.55,25.03,"Not relevant","Barents Sea",-275,"m","SAW","2025-12-16","Coordinates represent approximate center of sampling area. Area 1: 71°30.5'N -71°37.5'N and 24°50.0'E -25°13.8'E, 250-300 m depth"
"BarentsSeaMetals2000_Area2","Central Bank","Ocean, sea, territorial waters","Water column, pelagic zone","WGS 84",75.03,31.92,"Not relevant","Barents Sea",-210,"m","SAW","2025-12-16","Coordinates represent approximate center of sampling area. Area 2: 74°40.6'N -75°22.2'N and 31°49.7'E -32°05.0'E, 100-320 m depth"
"BarentsSeaMetals2000_Area3","Spitsbergen Bellsund Bank, Hornsund Bank and South Cape Bank","Ocean, sea, territorial waters","Water column, pelagic zone","WGS 84",76.98,13.37,"Not relevant","Barents Sea",-260,"m","SAW","2025-12-16","Coordinates represent approximate center of sampling area. Area 3: 76°30.3'N -77°26.5'N and 12°29.9'E -14°14.5'E; 220-300m depth"
"BarentsSeaMetals2000_Area4","Bear Island","Ocean, sea, territorial waters","Water column, pelagic zone","WGS 84",74.39,16.85,"Not relevant","Barents Sea",-340,"m","SAW","2025-12-16","Coordinates represent approximate center of sampling area. Area 4: 74°11.5'N-74°35.5'N and 16°09.5'E-17°26.5'E, 200-480 m depth"
"BarentsSeaMetals2000_Area5","North of Svalbard","Ocean, sea, territorial waters","Water column, pelagic zone","WGS 84",81.3,18.67,"Not relevant","Arctic Ocean",-450,"m","SAW","2025-12-16","Area 5: 81°18.0'N and 18°40.0'E, 400-500 m depth"
"BarentsSeaMetals2000_MergedAreas","Merged site represented North Cape, Central, South Cape, Spitsbergen Bellsund, Hornsund Banks and marine areas near Bear Island and North of Svalbard","Ocean, sea, territorial waters","Water column, pelagic zone","WGS 84",76,21,"Not relevant","Arctic Ocean",0,"m","SAW","2025-12-16","Only Pandalus borealis is reported by site, so this merged site represents the rest of zooplankton species."
