"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"IcelandNucella99_ST-Copper-BiotaAquatic-1999-08-31-R-1","IcelandNucella99_ST","Copper","Biota","Biota, Aquatic","Internal","1999-08-31","1","Molluscs","Nucella lapillus","Total soft tissues","Adult","Not reported",""
"IcelandNucella99_MA-Copper-BiotaAquatic-1999-08-31-R-1","IcelandNucella99_MA","Copper","Biota","Biota, Aquatic","Internal","1999-08-31","1","Molluscs","Nucella lapillus","Total soft tissues","Adult","Not reported",""
"IcelandNucella99_SA-Copper-BiotaAquatic-1999-08-31-R-1","IcelandNucella99_SA","Copper","Biota","Biota, Aquatic","Internal","1999-08-31","1","Molluscs","Nucella lapillus","Total soft tissues","Adult","Not reported",""
"IcelandNucella99_VA-Copper-BiotaAquatic-1999-08-31-R-1","IcelandNucella99_VA","Copper","Biota","Biota, Aquatic","Internal","1999-08-31","1","Molluscs","Nucella lapillus","Total soft tissues","Adult","Not reported",""
"IcelandNucella99_GA-Copper-BiotaAquatic-1999-08-31-R-1","IcelandNucella99_GA","Copper","Biota","Biota, Aquatic","Internal","1999-08-31","1","Molluscs","Nucella lapillus","Total soft tissues","Adult","Not reported",""
"IcelandNucella99_GU-Copper-BiotaAquatic-1999-08-31-R-1","IcelandNucella99_GU","Copper","Biota","Biota, Aquatic","Internal","1999-08-31","1","Molluscs","Nucella lapillus","Total soft tissues","Adult","Not reported",""
"IcelandNucella99_GR-Copper-BiotaAquatic-1999-08-31-R-1","IcelandNucella99_GR","Copper","Biota","Biota, Aquatic","Internal","1999-08-31","1","Molluscs","Nucella lapillus","Total soft tissues","Adult","Not reported",""
"IcelandNucella99_RA-Copper-BiotaAquatic-1999-08-31-R-1","IcelandNucella99_RA","Copper","Biota","Biota, Aquatic","Internal","1999-08-31","1","Molluscs","Nucella lapillus","Total soft tissues","Adult","Not reported",""
